"","year","country.x","TOTAL","TAX","SPEND","DTOTALE","DTAXE","DSPENDE","ccode","WAGESH","NPINV","PDEBT","RYIELD","RGROWTH","INFL","UNEM","OGAP","ACTPOPG","RGDPGR","GPINVB","RGDPB","COMNGCONS","COMNGINV","country.y","gini_disp","gini_mkt","country.x.x","iso","ifs","pop","gdp","iy","cpi","ca","imports","exports","narrowm","money","stir","ltrate","hpnom","unemp","wage","debtgdp","revenue","expenditure","xrusd","tloans","tmort","thh","tbus","bdebt","lev","ltd","noncore","crisisJST","crisisJST_old","peg","peg_strict","peg_type","peg_base","JSTtrilemmaIV","eq_tr","housing_tr","bond_tr","bill_rate","rent_ipolated","housing_capgain_ipolated","housing_capgain","housing_rent_rtn","housing_rent_yd","eq_capgain","eq_dp","eq_capgain_interp","eq_tr_interp","eq_dp_interp","bond_rate","eq_div_rtn","capital_tr","risky_tr","safe_tr","country.y.y","ginv","pinv","ginv_nom","pinv_nom","RGCONS","NGCONS","SOCPR","HEALTH","EDUC","PUBSERV","OTHER","DEFSAFE","HOUS","ENVIR","ECAFF","ORDER","DEF","RECR","CAPB","change_CAPB","sum_spillover_total","sum_spillover_tax","sum_spillover_spend","GREXPART","banking_crisis","V1","sum_spillover_CAPB","approval","Country","STRIKE","GOVCRISIS","RIOTS","DEMONSTR","lrgov","TOPTEN","BOTTOMFIFTY","TOPBOTTOM","log_TOPBOTTOM","log_ginv","log_pinv","log_RGCONS","RATIOINVCONS","CONSRATIOINVCONS","log_DEFSAFE","log_EDUC","log_HEALTH","log_OTHER","log_PUBSERV","log_SOCPR","log_APPROV","log_WAGESH"
"1","1978","Australia",0,0,0,0,0,0,"AUS",NA,NA,NA,1.054239846,NA,NA,NA,NA,NA,NA,NA,523.004,NA,NA,"Australia",26.1,39.1,"Australia","AUS",193,14248.6,104920,0.225968549,38.16457,-3875.706218,13591.4,12591,11266,48245.05,8.646666667,9.06,28.79610358,6.2,37.90733087,22.3799,27173,28700,0.869187311,25043,8886.55,11443,13600,45494.34766,3.144479752,69.17694855,16.90629959,0,0,1,0,"PEG","USA",1.1950001,0.242999986,0.108375296,0.139865175,0.08646667,NA,NA,0.054280851,0.054094445,0.051309332,0.175999999,0.056972791,NA,NA,NA,0.090599999,0.067000002,0.122658297,0.123746201,0.113165922,"Australia",9.118,53.467,4.306,25.248,80.738732812,21.130620734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008177017,0.008177017,0,0,0,1,0,45.7533,"Australia",0,0,0,0,9,0.24,0.1991,1.2054244098443,0.186831712271841,2.21025048179125,3.97906464115884,4.39121842062737,0.203780099704855,NA,NA,NA,NA,NA,NA,NA,3.82326392026775,NA
"2","1979","Australia",0,0,0,0,0,0,"AUS",NA,NA,NA,0.636327318,NA,NA,NA,NA,NA,NA,NA,538.881,NA,NA,"Australia",26.7,39.5,"Australia","AUS",193,14421.9,118587,0.224540292,41.63373,-2338.30846,16279,16710.9,13146,57232,8.876666667,9.749166667,30.76016903,5.8,40.94191864,22.8866,29664,31800,0.90456807,29029,10194.3,13285.3,15743.7,53063.58984,4.045458794,69.92879486,18.24375343,0,0,1,0,"PEG","USA",1.63,0.389999986,0.124294177,0.007620514,0.088766664,NA,NA,0.068207152,0.056087028,0.052505761,0.319999993,0.053030305,NA,NA,NA,0.097491667,0.07,0.151545808,0.163616836,0.048193589,"Australia",8.889,57.631,4.481,29.05,83.410272933,23.421560832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03627685,0.011354977,0.024921872,0,0,2,0.0186876124768421,39.397709,"Australia",0,0,0,1,9,0.2443,0.1975,1.23696202531646,0.212658393922518,2.18481455725954,4.0540606173716,4.42377147843376,0.191319444171192,NA,NA,NA,NA,NA,NA,NA,3.67370766740515,NA
"3","1980","Australia",0,0,0,0,0,0,"AUS",NA,NA,19.12719866,1.515824517,2.9,"10.136",6.133,"1.966",NA,NA,NA,556.879,NA,NA,"Australia",27.3,39.9,"Australia","AUS",193,14615.9,134424,0.23559319,45.8498,-3383.97436,19632,19268.6,14843,65457,10.6675,11.6475,36.29317832,6.1,44.89014575,21.3488,34584,36400,0.846955197,32149,11690.8,15578.2,16570.8,62787.32813,4.234001637,71.57967377,18.48118019,0,0,1,0,"PEG","USA",1.08,0.523000002,0.235666126,-0.042508058,0.106674999,NA,NA,0.179875299,0.055790827,0.047285359,0.458000004,0.044581618,NA,NA,NA,0.116475001,0.064999998,0.263257146,0.286431879,0.03208347,"Australia",8.333,63.39,4.575,34.803,85.293248108,25.819498607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043554697,0.036068354,0.007486344,0,0,3,0.0877627526121053,45.290009,"Australia",0,0,0,0,9,0.2485,0.1955,1.27109974424552,0.239882466111263,2.12022353540007,4.14930612029607,4.44609529671058,0.177191667027944,NA,NA,NA,NA,NA,NA,NA,3.81308645628747,NA
"4","1981","Australia",0,0,0,0,0,0,"AUS",NA,NA,16.97338417,4.499834157,4.1,"9.488",5.783,"3.472",NA,NA,NA,575.396,NA,NA,"Australia",27.9,40.3,"Australia","AUS",193,14923.26,152143,0.247994759,50.29345,-6649.81911,22824,18686,16627,72752,13.25083333,13.95833333,41.6886266,5.7836,50.77659343,18.9447,40727,41400,0.886603423,37275,12901.1,17985.4,19289.6,75717.61719,4.346083641,70.96505737,19.49754715,0,0,1,0,"PEG","USA",1.52,-0.108000003,0.202580303,-0.003373264,0.132508337,NA,NA,0.148661464,0.053918835,0.04694058,-0.143999994,0.042056073,NA,NA,NA,0.139583334,0.035999998,0.149769574,0.157206163,0.064567536,"Australia",8.024,71.687,4.779,42.698,89.167534017,31.504702194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16583485,0.145390902,0.020790084,0.309292843,0,4,0.0230728585084211,42.35236,"Australia",0,0,0,0,9,0.2479,0.195,1.27128205128205,0.240025880477398,2.08243705065963,4.27230942014861,4.4905170049141,0.151691641792765,NA,NA,NA,NA,NA,NA,NA,3.74602414563751,NA
"5","1982","Australia",0,0,0,0,0,0,"AUS",NA,NA,15.57752602,3.994009253,0.1,"11.352",7.183,"1.088",NA,NA,NA,562.596,NA,NA,"Australia",27.4,40.6,"Australia","AUS",193,15162,175615,0.240586645,55.89891,-7548.35627,26210,21032,16895,81035,14.6425,15.375,44.09594417,7.1626,57.11333478,17.3873,47388,49000,1.019783807,40586,14150.9,20254.5,20331.5,92309.23438,4.184784889,72.0460968,23.03486633,0,0,1,0,"PEG","USA",-2.075,-0.152999997,0.115725592,0.193352148,0.146424994,NA,NA,0.057744805,0.057980787,0.054815479,-0.197000012,0.05479452,NA,NA,NA,0.153750002,0.044,0.089715041,0.082591519,0.169888571,"Australia",7.961,70.393,5.237,46.309,90.508094425,34.421273309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186495206,0.078173817,0.108321389,-0.375095013,0,5,0.0563699985947368,42.271679,"Australia",0,0,0,1,9,0.2509,0.1917,1.30881585811163,0.269122803320778,2.07455462010644,4.25409382640214,4.50543928786648,0.152144284523917,NA,NA,NA,NA,NA,NA,NA,3.74411733463205,NA
"6","1983","Australia",0,0,0,0,0,0,"AUS",NA,NA,16.92679584,4.073589685,-0.5,"10.039",9.967,"-2.058",NA,NA,NA,588.429,NA,NA,"Australia",27.5,41,"Australia","AUS",193,15348,189157,0.220460721,61.55228,-6258.48005,23839,22306,17881,92562,11.06083333,13.8875,46.42683897,9.9614,63.51533609,18.8926,52001,57000,1.10864745,45456,16124.4,23937.8,21518.2,105941.9766,3.857435226,73.34494781,25.34790039,0,0,0,0,"FLOAT","USA",0,0.637000024,0.102485329,0.157296851,0.110608332,NA,NA,0.052859791,0.049625538,0.047134042,0.565999985,0.045338441,NA,NA,NA,0.138874993,0.070999995,0.182214648,0.18674995,0.133952588,"Australia",8.725,64.538,6.117,45.249,92.809672301,33.064363672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144316956,0.034178045,0.111902199,0.609525289,0,6,0,59.460361,"Australia",1,0,0,2,2.512,0.2483,0.1945,1.27660668380463,0.24420552945562,2.16619246808849,4.16725419760942,4.53055086174232,0.18500280424813,NA,NA,NA,NA,NA,NA,NA,4.08530988885996,NA
"7","1984","Australia",0,0,0,0,0,0,"AUS",NA,NA,18.24022847,9.872936976,6.3,"3.96",8.967,"0.159",NA,NA,NA,619.49,NA,NA,"Australia",27.5,41.4,"Australia","AUS",193,15510,213378,0.229494982,63.98371,-9297.2035,29560,26366,19180.31142,105399,10.985,13.525,52.37253127,8.9868,68.92538612,20.3591,56912,65200,1.208021261,54327,18756.4,28917.9,25409.1,119802.6641,4.230685711,74.32318115,27.93217087,0,0,0,0,"FLOAT","USA",0,0.005,0.18508856,0.138671726,0.109849997,NA,NA,0.128066123,0.057022434,0.05054884,-0.037,0.043613706,NA,NA,NA,0.135250002,0.041999999,0.156040356,0.159314722,0.124260858,"Australia",10.179,70.443,7.423,51.37,97.135724856,35.446997497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038589996,0.003790465,0.034799531,0.317965041,0,7,0,71.226768,"Australia",0,0,0,1,1,0.253,0.1943,1.30211013896037,0.263986132344126,2.3203267744702,4.25480387215892,4.57610922581941,0.209411248459851,NA,NA,NA,NA,NA,NA,NA,4.26586870282072,NA
"8","1985","Australia",0.45,0,0.45,1,0,1,"AUS",NA,NA,19.70686504,7.3694712,5.5,"6.735",8.258,"1.498",NA,NA,NA,644.057,NA,NA,"Australia",28.5,42.1,"Australia","AUS",193,15695,234973,0.242720713,68.2956,-12111.2229,37054,32408,20596.49212,120667,15.42,13.95416667,57.23302009,8.2581,73.63062867,21.9957,66458,71700,1.468644441,69214,23799.9,36007.4,33206.6,144379.9531,5.078046799,78.73168182,28.46592522,0,0,0,0,"FLOAT","USA",0,0.420999974,0.149866089,0.056325641,0.154200003,NA,NA,0.092806339,0.05705975,0.052213963,0.364000022,0.041788861,NA,NA,NA,0.139541671,0.057000007,0.189341366,0.198222786,0.105262823,"Australia",10.933,78.834,8.561,61.727,106,34.767441058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047625124,0.022112057,0.025513067,0.003778925,0,8,0,62.521599,"Australia",0,0,0,0,1,0.2552,0.1927,1.32433834976648,0.280912976050314,2.39178573845235,4.36734437588774,4.66343909411207,0.246236126084698,NA,NA,NA,NA,NA,NA,NA,4.13551208104196,NA
"9","1986","Australia",1.02,0.17,0.85,0,1,0,"AUS",NA,NA,20.97639713,4.507980948,2.4,"9.05",8.117,"0.911",NA,NA,NA,660.561,NA,NA,"Australia",28.5,42.3,"Australia","AUS",193,15900,260242,0.232350004,74.49994,-13704.61092,39033,33716,23232.06627,131643,15.38666667,13.41666667,61.37513478,8.0806,77.98564281,23.4131,75000,77500,1.504211793,81353,28079.2,39960.4,41392.6,187109.4063,5.16801405,83.82770538,35.20765305,0,0,0,0,"FLOAT","USA",0,0.510999978,0.134558111,0.221346051,0.153866664,NA,NA,0.072372586,0.062185533,0.057988737,0.457000017,0.037062459,NA,NA,NA,0.134166673,0.054000001,0.241263479,0.246688783,0.187606364,"Australia",11.886,77.413,10.138,66.029,110,35.446978176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036131968,0.013496367,0.022635601,-0.418422091,0,9,0.0838953373168421,57.363861,"Australia",1,0,0,0,1,0.2629,0.1889,1.39174166225516,0.330555957228372,2.47536123694447,4.34915472514854,4.70048036579242,0.286004633446134,NA,NA,NA,NA,NA,NA,NA,4.04941450574151,NA
"10","1987","Australia",0.9,0.19,0.71,0,0,0,"AUS",NA,NA,19.76778824,4.933645551,4.9,"8.533",8.108,"1.797",NA,NA,NA,698.569,NA,NA,"Australia",29,42.7,"Australia","AUS",193,16137,285706,0.230163859,80.82405,-10324.09472,41816,37947,28123.38942,148219,12.79833333,13.19166667,64.44389152,8.1064,82.81487927,22.0637,83500,82300,1.384083045,94828,35430.5,47582.2,47245.8,231508.9688,5.401523113,88.2623291,39.03450012,0,0,0,0,"FLOAT","USA",0,-0.096000001,0.106478825,0.160095215,0.127983332,NA,NA,0.050000735,0.056478094,0.053788625,-0.121000007,0.028441411,NA,NA,NA,0.131916672,0.025,0.049734671,0.040692914,0.144039273,"Australia",11.393,82.025,10.321,74.309,114,36.698650079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040301178,0.016435949,0.023865229,0.324324159,0,10,0.223091910418421,58.268841,"Australia",0,0,0,0,1,0.2787,0.1826,1.526286966046,0.422837966327034,2.43299913171598,4.40702407884717,4.7361984483945,0.281236502644711,NA,NA,NA,NA,NA,NA,NA,4.0650674907907,NA
